,raw_first_date,raw_last_date,raw_rows,bday_calendar_rows,cleaned_rows,remaining_nan_close
CL=F,2015-01-02,2026-08-21,2926,3036,3036,0
ES=F,2015-01-02,2026-08-21,2927,3036,3036,0
GC=F,2015-01-02,2026-08-21,2925,3036,3036,0
HG=F,2015-01-02,2026-08-21,2926,3036,3036,0
NG=F,2015-01-02,2026-08-21,2927,3036,3036,0
NQ=F,2015-01-02,2026-08-21,2927,3036,3036,0
RTY=F,2017-07-10,2026-08-21,2296,2380,2380,0
SI=F,2015-01-02,2026-08-21,2925,3036,3036,0
YM=F,2015-01-02,2026-08-21,2927,3036,3036,0
ZB=F,2015-01-02,2026-08-21,2926,3036,3036,0
ZN=F,2015-01-02,2026-08-21,2926,3036,3036,0
