pair,refit_date,n_train,alpha,beta,eg_adf_stat,eg_adf_pvalue,eg_cointegrated_5pct
ZB=F/ZN=F,2015-12-22,252,4.464554124184811,0.07659079863672158,-2.635085854449903,0.08596035768170729,False
ZB=F/ZN=F,2016-01-20,273,4.463343260701582,0.07670610866011067,-2.7115866724198288,0.07205463989933945,False
ZB=F/ZN=F,2016-02-18,294,4.222830511028068,0.12459199239926745,-2.3149615742053995,0.16718796060939017,False
ZB=F/ZN=F,2016-03-18,315,4.089410070023692,0.15114340302587587,-2.2764850125832234,0.179664204583648,False
ZB=F/ZN=F,2016-04-18,336,3.992378200133961,0.17045486908761698,-2.2212771100552264,0.19861391637008197,False
ZB=F/ZN=F,2016-05-17,357,3.9218608416283085,0.18449415977390166,-2.2751026184436363,0.18012363175006185,False
ZB=F/ZN=F,2016-06-15,378,3.8698336517895946,0.19483418692074642,-2.447863359204756,0.12868031937536328,False
ZB=F/ZN=F,2016-07-14,399,3.696159988193594,0.22929377379358412,-2.4302089428528912,0.13339102851423562,False
ZB=F/ZN=F,2016-08-12,420,3.6169708818896202,0.24500909890593991,-2.5303402276812657,0.10826563813694673,False
ZB=F/ZN=F,2016-09-12,441,3.5775471773942455,0.2528354928898592,-2.6104794304787093,0.09085066732425934,False
ZB=F/ZN=F,2016-10-11,462,3.5615840384707735,0.25601280652606534,-2.7011966103281093,0.07383143199064282,False
ZB=F/ZN=F,2016-11-09,483,3.559834441504002,0.25636399123604436,-2.771488681550468,0.06246323219819859,False
ZB=F/ZN=F,2016-12-08,504,3.505248178829895,0.2670051602973992,-2.4630080797026466,0.12473619462276475,False
ZB=F/ZN=F,2017-01-06,525,3.392662658042167,0.2890383283224218,-2.2164465739757757,0.20033054034452347,False
ZB=F/ZN=F,2017-02-06,546,3.316670970526134,0.30388825100654915,-2.262951406827272,0.18419533618516382,False
ZB=F/ZN=F,2017-03-07,567,3.257364499144936,0.315476282772555,-2.277688994744189,0.1792647028158424,False
ZB=F/ZN=F,2017-04-05,588,3.195902628635924,0.3275057211173223,-2.4552583602348164,0.1267433087497054,False
ZB=F/ZN=F,2017-05-04,609,3.171423164311361,0.3322729397855814,-2.5488199578448603,0.10404308763884879,False
ZB=F/ZN=F,2017-06-02,630,3.1516393283625503,0.3361292920803186,-2.651294283878467,0.08285227893437702,False
ZB=F/ZN=F,2017-07-03,651,3.144987041037485,0.33739385661418647,-2.615121818448084,0.08991199737051903,False
ZB=F/ZN=F,2017-08-01,672,3.125137138894054,0.34126065789071275,-2.741384493016779,0.06714661096795693,False
ZB=F/ZN=F,2017-08-30,693,3.1183313705735167,0.3425677516776428,-2.806730527097689,0.057318773232667014,False
ZB=F/ZN=F,2017-09-28,714,3.1127227623973126,0.34363684518492266,-2.7848667512279883,0.06046817156769825,False
ZB=F/ZN=F,2017-10-27,735,3.0887454531261946,0.34831552938529564,-2.75822375430702,0.0644934308020002,False
ZB=F/ZN=F,2017-11-27,756,3.065236979947879,0.35288714442397384,-2.6989525036683872,0.07421970712149051,False
ZB=F/ZN=F,2017-12-26,777,3.035433288490799,0.35868250948532004,-2.5655655802257145,0.10032503224415062,False
ZB=F/ZN=F,2018-01-24,798,2.978932549285419,0.3697468986943935,-2.4481882710713037,0.1285947660159938,False
ZB=F/ZN=F,2018-02-22,819,2.869830758862266,0.39121410023860553,-2.5440410605990427,0.10512296862439807,False
ZB=F/ZN=F,2018-03-23,840,2.769156817010547,0.4110323022098765,-2.588865433385254,0.09532046227649754,False
ZB=F/ZN=F,2018-04-23,861,2.6786950515952603,0.42883180071027793,-2.6072883607449033,0.09150024844141103,False
ZB=F/ZN=F,2018-05-22,882,2.569428970509649,0.45036142555200975,-2.7637626241053184,0.06363935392272867,False
ZB=F/ZN=F,2018-06-20,903,2.492733088673782,0.46546304812189576,-2.8622563015948383,0.049916418305811644,True
ZB=F/ZN=F,2018-07-19,924,2.428852472616197,0.47803369315639477,-2.9528760454028498,0.03953572786441818,True
ZB=F/ZN=F,2018-08-17,945,2.3706619517832674,0.4894961026079937,-3.0946328570915753,0.02695293918316543,True
ZB=F/ZN=F,2018-09-17,966,2.3246483738787975,0.49855421462933497,-3.1597917127351085,0.02243328493901321,True
ZB=F/ZN=F,2018-10-16,987,2.278240026635612,0.5077122712124303,-3.324806383340213,0.013805393025880174,True
ZB=F/ZN=F,2018-11-14,1008,2.2507355743856743,0.513142845993538,-3.414301917975954,0.010480875740336808,True
ZB=F/ZN=F,2018-12-13,1029,2.23433594305712,0.5163756884394551,-3.4544379813116106,0.009237288953984986,True
ZB=F/ZN=F,2019-01-11,1050,2.2237235596097795,0.5184608334882451,-3.5373863907284844,0.007077270156832331,True
ZB=F/ZN=F,2019-02-11,1071,2.2174319989929594,0.5196965815052551,-3.5819870825320397,0.006114882131574179,True
ZB=F/ZN=F,2019-03-12,1092,2.212540193936031,0.5206563664336208,-3.630696789301116,0.005200572896499664,True
ZB=F/ZN=F,2019-04-10,1113,2.2143126353651943,0.5203113768313993,-3.6616036275300874,0.004686819118412062,True
ZB=F/ZN=F,2019-05-09,1134,2.2184457586265833,0.5195024840774185,-3.6864587618960845,0.004307706053514589,True
ZB=F/ZN=F,2019-06-07,1155,2.2196944293835883,0.5192672386314513,-3.703337898344278,0.004066447831273429,True
ZB=F/ZN=F,2019-07-08,1176,2.216005549420428,0.5200294346480975,-3.6939973785529094,0.004198382997112802,True
ZB=F/ZN=F,2019-08-06,1197,2.2123492702714347,0.5207892378061045,-3.7175369363970545,0.0038731353832223633,True
ZB=F/ZN=F,2019-09-04,1218,2.208399579759469,0.5215815957441532,-3.797876743778499,0.002929113540029953,True
ZB=F/ZN=F,2019-10-03,1239,2.201821325458263,0.5229022654351309,-3.786049055060912,0.0030533203886443355,True
ZB=F/ZN=F,2019-11-01,1260,2.1878145057199183,0.5257188975394823,-3.8128577491296167,0.0027784692356332325,True
ZB=F/ZN=F,2019-12-02,1281,2.179344599170645,0.5274314504821717,-3.8555076498822296,0.002387812468290673,True
ZB=F/ZN=F,2019-12-31,1302,2.1730020906312557,0.5287200851537093,-3.808705618631181,0.002819490519110047,True
ZB=F/ZN=F,2020-01-29,1323,2.1638329500702334,0.5305793091102922,-3.828565053951987,0.0026282122379525765,True
ZB=F/ZN=F,2020-02-27,1344,2.1469169661281735,0.5339703945996903,-3.873788834762824,0.002236442521526178,True
ZB=F/ZN=F,2020-03-27,1365,2.1268249640480996,0.5379787366633917,-3.987892136092176,0.0014752555975011837,True
ZB=F/ZN=F,2020-04-27,1386,2.089132195091886,0.5454895611316308,-4.0905161781387624,0.0010040806012101954,True
ZB=F/ZN=F,2020-05-26,1407,2.053028034214264,0.5526838984402815,-4.105173968620559,0.0009496269363978786,True
ZB=F/ZN=F,2020-06-24,1428,2.0108381438744174,0.5610948975476189,-4.057019883627085,0.001139674288167791,True
ZB=F/ZN=F,2020-07-23,1449,1.9764347854889572,0.5679513246416277,-4.206100721353242,0.0006434063566648277,True
ZB=F/ZN=F,2020-08-21,1470,1.948673766130331,0.5734828004893734,-4.213182804876492,0.000625850089732351,True
ZB=F/ZN=F,2020-09-21,1491,1.9132209279467134,0.5805509485119951,-4.166603603070605,0.0007501206104656039,True
ZB=F/ZN=F,2020-10-20,1512,1.874716193744415,0.5882338399727289,-4.074508517560658,0.0010668790601430017,True
ZB=F/ZN=F,2020-11-18,1533,1.8404103020550249,0.5950887410034259,-4.026288255363476,0.0012789441923739353,True
ZB=F/ZN=F,2020-12-17,1554,1.8091685111997882,0.601332004334354,-3.979555783367573,0.0015214289024623477,True
ZB=F/ZN=F,2021-01-15,1575,1.7831568190503655,0.6065349213108004,-3.9882397295259753,0.0014733589712495247,True
ZB=F/ZN=F,2021-02-15,1596,1.7582149990886218,0.6115375363501407,-3.7765493776593706,0.0031565676266918103,True
ZB=F/ZN=F,2021-03-16,1617,1.7478865862571158,0.6136707242046401,-3.4806197334612534,0.008498995656489696,True
ZB=F/ZN=F,2021-04-14,1638,1.751552497501179,0.6130336746424946,-3.5195398917808194,0.0074992220444836015,True
ZB=F/ZN=F,2021-05-13,1659,1.750716381985296,0.6132775913827408,-3.313780880552951,0.014273595065953234,True
ZB=F/ZN=F,2021-06-11,1680,1.7492224975568311,0.6136550031433287,-3.386588458932053,0.011424655684837748,True
ZB=F/ZN=F,2021-07-12,1701,1.7429177485249616,0.614955236138572,-3.546104624413551,0.006879035087042949,True
ZB=F/ZN=F,2021-08-10,1722,1.732277609406423,0.6171035078201326,-3.5719058561059898,0.00632140788627759,True
ZB=F/ZN=F,2021-09-08,1743,1.723128171559396,0.6189500841648629,-3.58870180637543,0.005980735021840043,True
ZB=F/ZN=F,2021-10-07,1764,1.7174255690503526,0.6201127150538583,-3.587432061662086,0.0060058956906729076,True
ZB=F/ZN=F,2021-11-05,1785,1.7161169027247567,0.6203996974236146,-3.6932618625712212,0.0042089365514536336,True
ZB=F/ZN=F,2021-12-06,1806,1.7156443936073291,0.6204973336299808,-3.7462203664954696,0.003508048562447592,True
ZB=F/ZN=F,2022-01-04,1827,1.7152196446646284,0.6205866047654018,-3.761706149933171,0.003324330317067942,True
ZB=F/ZN=F,2022-02-02,1848,1.7164556473526318,0.6203568157567722,-3.788812452756353,0.003023874823014822,True
ZB=F/ZN=F,2022-03-03,1869,1.7182136725235342,0.6200190562634592,-3.8114207524875066,0.0027926035271796748,True
ZB=F/ZN=F,2022-04-01,1890,1.715001067034887,0.6206448933965727,-3.790826683500679,0.003002576876120729,True
ZB=F/ZN=F,2022-05-02,1911,1.7091080646864383,0.6217977983906253,-3.8957186067688023,0.0020665827150931106,True
ZB=F/ZN=F,2022-05-31,1932,1.7104026680337943,0.621543591299964,-3.932479556624151,0.0018084012818795263,True
ZB=F/ZN=F,2022-06-29,1953,1.7097583894059223,0.6216704688627009,-3.963959110124044,0.0016114459390705231,True
ZB=F/ZN=F,2022-07-28,1974,1.7062371647271537,0.6223614353010375,-3.9949038390834137,0.0014374325932641067,True
ZB=F/ZN=F,2022-08-26,1995,1.701436672020947,0.6233027593856897,-4.034940742297905,0.0012382065540290582,True
ZB=F/ZN=F,2022-09-26,2016,1.698036866561067,0.6239716460149681,-4.065408506445784,0.0011041967487757872,True
ZB=F/ZN=F,2022-10-25,2037,1.707125352060648,0.6221793895539405,-3.9478465355795924,0.0017096207199732245,True
ZB=F/ZN=F,2022-11-23,2058,1.7382002766350886,0.6160517924566378,-4.060385564323547,0.0011253139820354258,True
ZB=F/ZN=F,2022-12-22,2079,1.7392970149930618,0.6158355343404877,-4.087119622954584,0.0010171090846142264,True
ZB=F/ZN=F,2023-01-20,2100,1.7478715460738259,0.6141468024371436,-4.091454267921599,0.0010005098957471155,True
