lag,acf,pacf
0,1.0,1.0
1,0.6810270406190994,0.6810270406190994
2,0.6259702931906976,0.3024464879594666
3,0.569202640176265,0.13519237053691918
4,0.5252534045663527,0.07723104939454518
5,0.5029746061003599,0.08215067102029719
6,0.46940584137691016,0.038775565577984276
7,0.4544141673070572,0.05315561974262679
8,0.4547239660255226,0.079698331747841
9,0.4223609013995641,0.005092906327049106
10,0.39624704918929937,-0.006193389535085136
11,0.3887870193700293,0.03348382461377047
12,0.37449748091337415,0.02251359294726145
13,0.3749739899318033,0.042545118160135766
14,0.3633682957727065,0.02149631574610005
15,0.33475630907128856,-0.02572799054739275
16,0.33965288903881935,0.03294039158060572
17,0.30598890756016367,-0.03032285658271429
18,0.296021984973318,0.0007066302747148381
19,0.28311139020766607,0.0008414170632760703
20,0.27023787299534935,-0.00015736749565252903
21,0.26400749433981735,0.005045231470583413
22,0.24902587953988642,-0.006441785020401087
23,0.23031166686707172,-0.016562043768248724
24,0.23154553167134362,0.017593228599303113
25,0.22743106934027774,0.018985504871655182
26,0.2186169716085854,0.002728587809464061
27,0.2139518271654435,0.004144551979014846
28,0.20794057967355536,0.00804478367701892
29,0.2075912812880536,0.01391280510195997
30,0.1997694449645244,0.0023046072154672926
