subsample,model,N,RMSE,MAE,QLIKE
overall,M9 Regime,376,0.3427970259979752,0.2136210378114607,0.3388222658044965
overall,M3 Combined,376,0.3288039109905273,0.2108207364084144,0.3416481894436048
overall,M1 HAR+TS,376,0.3684048731499694,0.2259564502261966,0.3903617871365786
overall,M2b Corrected EGARCH,376,0.3391856072408835,0.2192498970689119,0.3589452096454185
crisis,M9 Regime,38,0.8692817722393446,0.639844853058508,1.1590954933709323
crisis,M3 Combined,38,0.8098569223033966,0.5968209573273999,1.0791396560232538
crisis,M1 HAR+TS,38,0.9447192827856584,0.6553733878836552,1.491307435073168
crisis,M2b Corrected EGARCH,38,0.8335435539149048,0.6341020791610231,1.131541779075785
calm,M9 Regime,338,0.2139302187120129,0.1657023840262897,0.2466021987999859
calm,M3 Combined,338,0.2157080233560503,0.1674242618672267,0.2587349476387923
calm,M1 HAR+TS,338,0.2250360702622951,0.1776788063475475,0.2665868326348318
calm,M2b Corrected EGARCH,338,0.2233116861347229,0.1726097109165444,0.272085240301176
