subsample,model,N,RMSE,MAE,QLIKE
overall,M9d,376,0.3382857926253425,0.2190937596316946,0.318049185585038
overall,M9c,376,0.3386951877007207,0.2133394179803742,0.3337885524944661
overall,M9,376,0.3427970651376706,0.2136210243064546,0.3388225556441324
overall,M3,376,0.3288039726661435,0.2108206894103457,0.3416487533943624
overall,M1,376,0.3684048731499693,0.2259564502261965,0.390361787136579
crisis,M9d,38,0.8215782480035172,0.5954562329802917,0.966308387520244
crisis,M9c,38,0.8496675117888419,0.6325262251914014,1.146907320925279
crisis,M9,38,0.8692821020738078,0.6398456134846722,1.159097739609452
crisis,M3,38,0.8098572862143063,0.5968217650863226,1.0791419813092191
crisis,M1,38,0.9447192827856584,0.6553733878836546,1.49130743507317
calm,M9d,338,0.2267519907112671,0.176780818841024,0.2451679735331509
calm,M9c,338,0.2155157587157621,0.1662119071104954,0.2423728329667415
calm,M9,338,0.213930137801,0.1657022835112705,0.2466022686894515
calm,M3,338,0.215707974333117,0.1674241187722181,0.2587353135696152
calm,M1,338,0.225036070262295,0.1776788063475473,0.266586832634832
