subsample,model,N,RMSE,MAE,QLIKE
overall,M9e,376,0.3420457361198096,0.2231694611305681,0.3209787258802327
overall,M9d,376,0.3382857234015174,0.219093684366362,0.3180490158168694
overall,M3,376,0.3288037952767169,0.2108206056880436,0.3416482953117484
overall,M1,376,0.3684048731499686,0.2259564502261963,0.390361787136577
crisis,M9e,38,0.7835642683724812,0.566997927243834,0.9286500166168976
crisis,M9d,38,0.8215781822505078,0.595455961094955,0.9663071487219128
crisis,M3,38,0.8098565328333125,0.5968212476295071,1.0791382372141236
crisis,M1,38,0.9447192827856568,0.6553733878836538,1.4913074350731623
calm,M9e,338,0.2472287516269647,0.1845141897923904,0.2526606517737439
calm,M9d,338,0.2267519026116065,0.1767807656808989,0.2451679239518054
calm,M3,338,0.2157079915362661,0.1674240838129679,0.2587352249203571
calm,M1,338,0.2250360702622946,0.1776788063475473,0.2665868326348308
