subsample,model,N,RMSE,MAE,QLIKE
overall,M2 raw,376,0.42652029670275465,0.332107989781016,0.4154199339377882
overall,M2b pooled-OLS,376,0.3391857146823363,0.2192498967572525,0.35894642309958236
overall,M2c regime-OLS,376,0.3335278051470539,0.2166568642021996,0.33915549937794426
overall,M2d-pooled,376,0.3465604798739587,0.23178170875935053,0.323696719834951
overall,M2d-regime,376,0.33822121042865977,0.22902069921492385,0.3180849302106154
crisis,M2 raw,38,0.6644928126120868,0.4885594394978251,0.36859760764599253
crisis,M2b pooled-OLS,38,0.833544255342199,0.6341033994156899,1.1315477855305147
crisis,M2c regime-OLS,38,0.8078959193057528,0.629028618923394,1.113563078745622
crisis,M2d-pooled,38,0.836892638989413,0.6148938440633198,0.8684579606573992
crisis,M2d-regime,38,0.7782228218927164,0.5827537031827258,0.8396861729402866
calm,M2 raw,338,0.3908071958816693,0.31451877354066476,0.4206839824558008
calm,M2b pooled-OLS,338,0.22331157332159673,0.17260956213884834,0.2720859148972882
calm,M2c regime-OLS,338,0.22442628087332397,0.1702955426654973,0.2520919253661936
calm,M2d-pooled,338,0.23423281232997376,0.1887099302340522,0.2624513732336107
calm,M2d-regime,338,0.2432400857066168,0.1892518999522715,0.25944337037710213
