subsample,model,N,RMSE,MAE,QLIKE
overall,M9e,376,0.3420457361198096,0.22316946113056818,0.32097872588023274
overall,M9d,376,0.3382857234015174,0.21909368436636206,0.31804901581686945
overall,M3,376,0.32880379527671694,0.21082060568804364,0.3416482953117484
overall,M1,376,0.36840487314996867,0.22595645022619631,0.39036178713657704
crisis,M9e,38,0.7835642683724812,0.566997927243834,0.9286500166168975
crisis,M9d,38,0.8215781822505078,0.595455961094955,0.9663071487219129
crisis,M3,38,0.8098565328333125,0.5968212476295071,1.0791382372141236
crisis,M1,38,0.9447192827856569,0.6553733878836538,1.4913074350731623
calm,M9e,338,0.24722875162696478,0.18451418979239043,0.2526606517737439
calm,M9d,338,0.2267519026116065,0.17678076568089893,0.24516792395180545
calm,M3,338,0.21570799153626619,0.16742408381296792,0.2587352249203571
calm,M1,338,0.2250360702622946,0.1776788063475473,0.2665868326348308
