subsample,model,N,RMSE,MAE,QLIKE
overall,M9 Regime,376,0.3427970259979752,0.21362103781146077,0.33882226580449654
overall,M3 Combined,376,0.32880391099052736,0.21082073640841442,0.34164818944360487
overall,M1 HAR+TS,376,0.3684048731499694,0.22595645022619668,0.3903617871365786
overall,M2b Corrected EGARCH,376,0.33918560724088354,0.2192498970689119,0.3589452096454185
crisis,M9 Regime,38,0.8692817722393446,0.639844853058508,1.1590954933709325
crisis,M3 Combined,38,0.8098569223033966,0.5968209573273999,1.0791396560232538
crisis,M1 HAR+TS,38,0.9447192827856584,0.6553733878836552,1.4913074350731679
crisis,M2b Corrected EGARCH,38,0.8335435539149048,0.6341020791610231,1.131541779075785
calm,M9 Regime,338,0.2139302187120129,0.16570238402628976,0.24660219879998593
calm,M3 Combined,338,0.2157080233560503,0.1674242618672267,0.25873494763879235
calm,M1 HAR+TS,338,0.22503607026229516,0.1776788063475475,0.2665868326348318
calm,M2b Corrected EGARCH,338,0.2233116861347229,0.1726097109165444,0.27208524030117603
